annotation_index,index,sentence,label,gender,fatma
33,411,"On the Granger Movie Gauge of 1 to 10 , The Powerpuff Girls is a fast , frenetic , funny , even punny 6 -- aimed specifically at a grade-school audience .",0.67,femm
34,8007,"The sort of picture in which , whenever one of the characters has some serious soul searching to do , they go to a picture-perfect beach during sunset .",0.35,neut
35,1966,Daughter From Danang reveals that efforts toward closure only open new wounds .,0.39,femm
36,1807,Solondz is so intent on hammering home his message that he forgets to make it entertaining .,0.32,masc
37,6131,These guys seem great to knock back a beer with but they 're simply not funny performers .,0.36,neut
38,2079,"The only thing that could possibly make them less interesting than they already are is for them to get full montied into a scrappy , jovial team .",0.26,neut
39,7220,"Ice Cube is n't quite out of ripe screwball ideas , but Friday After Next spreads them pretty thin .",0.31,neut
40,159,"The film is faithful to what one presumes are the book 's twin premises -- that we become who we are on the backs of our parents , but we have no idea who they were at our age ; and that time is a fleeting and precious commodity no matter how old you are .",0.78,neut
41,4776,"Children , Christian or otherwise , deserve to hear the full story of Jonah 's despair -- in all its agonizing , Catch-22 glory -- even if they spend years trying to comprehend it .",0.61,neut
42,2402,"It remains to be seen whether Statham can move beyond the crime-land action genre , but then again , who says he has to ?",0.42,masc
43,67,`` Birthday Girl '' is an actor 's movie first and foremost .,0.71,femm
44,7551,"It 's definitely not made for kids or their parents , for that matter , and I think even fans of Sandler 's comic taste may find it uninteresting .",0.38,neut
45,3865,But Mr. Polanski creates images even more haunting than those in Mr. Spielberg 's 1993 classic .,0.92,masc
46,1032,"The Man From Elysian Fields is a cold , bliss-less work that groans along thinking itself some important comment on how life throws us some beguiling curves .",0.18,masc
47,3840,The first shocking thing about Sorority Boys is that it 's actually watchable .,0.67,masc
48,1031,Davis ... is so enamored of her own creation that she ca n't see how insufferable the character is .,0.24,femm
49,4045,"... a sweetly affecting story about four sisters who are coping , in one way or another , with life 's endgame .",0.65,femm
50,2285,"The Powerpuff Girls arrive on the big screen with their super-powers , their super-simple animation and their super-dooper-adorability intact .",0.78,femm
51,6080,"A timid , soggy near miss .",0.35,femm
52,6026,"Unofficially , National Lampoon 's Van Wilder is Son of Animal House .",0.40,masc
53,1964,The New Guy is one of them .,0.56,neut
54,5654,Essentially a collection of bits -- and they 're all naughty .,0.61,neut
55,1055,Majidi gets uniformly engaging performances from his largely amateur cast .,0.76,masc
56,7393,About as original as a gangster sweating bullets while worrying about a contract on his life .,0.46,masc
57,1572,"Philip K. Dick must be turning in his grave , along with my stomach .",0.14,masc
58,1096,it seems to me the film is about the art of ripping people off without ever letting them consciously know you have done so,0.29,neut
59,7876,"Lazy filmmaking , with the director taking a hands-off approach when he should have shaped the story to show us why it 's compelling .",0.11,masc
60,730,"A creepy , intermittently powerful study of a self-destructive man ... about as unsettling to watch as an exploratory medical procedure or an autopsy .",0.68,masc
61,158,What could have been a daytime soap opera is actually a compelling look at a young woman 's tragic odyssey .,0.75,femm
62,2113,"the film belongs to the marvelous Verdu , a sexy slip of an earth mother who mourns her tragedies in private and embraces life in public",0.72,femm
63,3588,"Everyone 's insecure in Lovely and Amazing , a poignant and wryly amusing film about mothers , daughters and their relationships .",0.82,femm
64,3620,"Ana 's journey is not a stereotypical one of self-discovery , as she 's already comfortable enough in her own skin to be proud of her Rubenesque physique ...",0.56,femm
65,8182,The plot is paper-thin and the characters are n't interesting enough to watch them go about their daily activities for two whole hours .,0.11,neut
66,186,"Pacino is brilliant as the sleep-deprived Dormer , his increasing weariness as much existential as it is physical .",0.83,masc
67,1803,The situations and jokes are as predictable and as lowbrow as the endless pratfalls the boys take in their high heels .,0.24,masc
68,826,"Its cast full of caffeinated comedy performances more than make up for its logical loopholes , which fly by so fast there 's no time to think about them anyway .",0.72,neut
69,1577,"Mr. Caine and Mr. Fraser are the whole show here , with their memorable and resourceful performances .",0.81,masc
70,1909,"Feardotcom 's thrills are all cheap , but they mostly work .",0.46,neut
71,1150,But an unwillingness to explore beyond the surfaces of her characters prevents Nettelbeck 's film from coming together .,0.32,femm
72,478,Mr. Spielberg and his company just want you to enjoy yourselves without feeling conned .,0.72,masc
73,2678,Forget about one Oscar nomination for Julianne Moore this year - she should get all five .,0.96,femm
74,508,It 's a work by an artist so in control of both his medium and his message that he can improvise like a jazzman .,0.72,masc
75,4922,"Feels like the work of someone who may indeed have finally aged past his prime ... and , perhaps more than he realizes , just wants to be liked by the people who can still give him work .",0.31,masc
76,3486,"The unique niche of self-critical , behind-the-scenes navel-gazing Kaufman has carved from Orleans ' story and his own infinite insecurity is a work of outstanding originality .",0.85,masc
77,4711,"A non-Britney person might survive a screening with little harm done , except maybe for the last 15 minutes , which are as maudlin as any after-school special you can imagine .",0.22,neut
78,567,"The laser-projected paintings provide a spell-casting beauty , while Russell and Dreyfus are a romantic pairing of hearts , preciously exposed as history corners them .",0.76,neut
79,384,"Here is a divine monument to a single man 's struggle to regain his life , his dignity and his music .",0.82,masc
80,1695,Jackie Chan movies are a guilty pleasure - he 's easy to like and always leaves us laughing .,0.78,masc
81,3569,An old-fashioned but emotionally stirring adventure tale of the kind they rarely make anymore .,0.79,neut
82,1297,"But though he only scratches the surface , at least he provides a strong itch to explore more .",0.72,masc
83,2930,"It 's enough to watch Huppert scheming , with her small , intelligent eyes as steady as any noir villain , and to enjoy the perfectly pitched web of tension that Chabrol spins .",0.71,femm
84,2871,"The film 's appeal has a lot to do with the casting of Juliette Binoche as Sand , who brings to the role her pale , dark beauty and characteristic warmth .",0.64,femm
85,2260,What bubbles up out of John C. Walsh 's Pipe Dream is the distinct and very welcome sense of watching intelligent people making a movie they might actually want to watch .,0.75,neut
86,896,"A powerful and telling story that examines forbidden love , racial tension , and other issues that are as valid today as they were in the 1950s .",1.00,neut
87,3154,"Upsetting and thought-provoking , the film has an odd purity that does n't bring you into the characters so much as it has you study them .",0.61,neut
88,1049,"Even when foreign directors ... borrow stuff from Hollywood , they invariably shake up the formula and make it more interesting .",0.69,neut
89,1461,"This fascinating experiment plays as more of a poetic than a strict reality , creating an intriguing species of artifice that gives The Lady and the Duke something of a theatrical air .",0.67,femm
90,598,"While general audiences might not come away with a greater knowledge of the facts of Cuban music , they 'll be treated to an impressive and highly entertaining celebration of its sounds .",0.89,neut
91,1684,"Even these tales of just seven children seem at times too many , although in reality they are not enough .",0.54,neut
92,1963,"Beautifully crafted , engaging filmmaking that should attract upscale audiences hungry for quality and a nostalgic , twisty yarn that will keep them guessing .",0.89,neut
93,720,They takes a long time to get to its gasp-inducing ending .,0.40,neut
94,3544,"Skin Of Man gets a few cheap shocks from its kids-in-peril theatrics , but it also taps into the primal fears of young people trying to cope with the mysterious and brutal nature of adults .",0.71,masc
95,7724,"Kapur fails to give his audience a single character worth rooting for ( or worth rooting against , for that matter ) .",0.38,masc
96,5128,"The audience when I saw this one was chuckling at all the wrong times , and that 's a bad sign when they 're supposed to be having a collective heart attack .",0.35,neut
97,7859,But ticket-buyers with great expectations will wind up as glum as Mr. De Niro .,0.17,masc
98,1938,Until its final minutes this is a perceptive study of two families in crisis -- and of two girls whose friendship is severely tested by bad luck and their own immaturity .,0.33,femm
99,90,While McFarlane 's animation lifts the film firmly above the level of other coming-of-age films ... it 's also so jarring that it 's hard to get back into the boys ' story .,0.38,masc
100,7044,"The star who helped give a spark to `` Chasing Amy '' and `` Changing Lanes '' falls flat as thinking man CIA agent Jack Ryan in this summer 's new action film , `` The Sum of All Fears . ''",0.22,masc
101,6314,The darker elements of misogyny and unprovoked violence suffocate the illumination created by the two daughters and the sparse instances of humor meant to shine through the gloomy film noir veil .,0.25,femm
102,54,"Sandra Nettelbeck beautifully orchestrates the transformation of the chilly , neurotic , and self-absorbed Martha as her heart begins to open .",0.79,femm
103,532,His healthy sense of satire is light and fun ...,0.78,masc
104,3652,"Mike White 's deft combination of serious subject matter and dark , funny humor make `` The Good Girl '' a film worth watching .",0.85,femm
105,4964,"Cox is far more concerned with aggrandizing madness , not the man , and the results might drive you crazy .",0.46,masc
106,8120,What they see in each other also is difficult to fathom .,0.24,neut
107,2409,"Adams , with four scriptwriters , takes care with the characters , who are so believable that you feel what they feel .",0.86,neut
108,7275,You 'll find yourself wishing that you and they were in another movie .,0.07,neut
109,7620,"Davis the performer is plenty fetching enough , but she needs to shake up the mix , and work in something that does n't feel like a half-baked stand-up routine .",0.43,femm
110,3407,"With an admirably dark first script by Brent Hanley , Paxton , making his directorial feature debut , does strong , measured work .",0.88,masc
111,947,It made me want to wrench my eyes out of my head and toss them at the screen .,0.39,neut
112,898,"There 's a solid woman - finding-herself story somewhere in here , but you 'd have to dig pretty deep to uncover it .",0.42,femm
113,7309,"Feels like the work of an artist who is simply tired -- of fighting the same fights , of putting the weight of the world on his shoulders , of playing with narrative form .",0.25,masc
114,1292,"Clever and unflinching in its comic barbs , Slap Her is a small but rewarding comedy that takes aim at contemporary southern adolescence and never lets up .",0.83,femm
115,1646,"Seeing Seinfeld at home as he watches his own appearance on Letterman with a clinical eye reminds you that the key to stand-up is to always make it look easy , even though the reality is anything but .",0.58,masc
116,3880,"Even when he 's not at his most critically insightful , Godard can still be smarter than any 50 other filmmakers still at work .",0.72,masc
117,1979,"Blade II is as estrogen-free as movies get , so you might want to leave your date behind for this one , or she 's gonna make you feel like you owe her big-time .",0.46,femm
118,5071,To show these characters in the act and give them no feelings of remorse -- and to cut repeatedly to the flashback of the original rape -- is overkill to the highest degree .,0.40,neut
119,1535,"Though Howard demonstrates a great eye as a director , this Southern Gothic drama is sadly a tough sit , with an undeveloped narrative and enough flashbacks and heavy-handed metaphors to choke a horse -- or at least slow him down to a canter .",0.38,masc
120,5542,"His best film remains his shortest , The Hole , which makes many of the points that this film does but feels less repetitive .",0.56,masc
121,794,About nowhere kids who appropriated turfs as they found them and become self-made celebrity athletes -- a low-down version of the American dream .,0.71,neut
122,1576,"It 's something of the ultimate Scorsese film , with all the stomach-turning violence , colorful New York gang lore and other hallmarks of his personal cinema painted on their largest-ever historical canvas .",0.97,masc
123,325,Girls gone wild and gone civil again,0.50,femm
124,406,One Hour Photo is an intriguing snapshot of one man and his delusions ; it 's just too bad it does n't have more flashes of insight .,0.31,masc
125,1325,"Davis is funny , charming and quirky in her feature film acting debut as Amy .",0.75,femm
126,2188,... the kind of entertainment that parents love to have their kids see .,0.83,neut
127,470,"Hardly an objective documentary , but it 's great cinematic polemic ... love Moore or loathe him , you 've got to admire ... the intensity with which he 's willing to express his convictions .",0.85,masc
128,102,"Huppert 's show to steal and she makes a meal of it , channeling Kathy Baker 's creepy turn as the repressed mother on Boston Public just as much as 8 Women 's Augustine .",0.61,femm
129,2990,"That Jack Nicholson makes this man so watchable is a tribute not only to his craft , but to his legend .",0.82,masc
130,6148,The film 's maudlin focus on the young woman 's infirmity and her naive dreams play like the worst kind of Hollywood heart-string plucking .,0.21,femm
131,1975,"Despite the predictable parent vs. child coming-of-age theme , first-class , natural acting and a look at `` the real Americans '' make this a charmer .",0.81,neut
132,4157,is significantly less charming than listening to a four-year-old with a taste for exaggeration recount his Halloween trip to the Haunted House .,0.08,masc
